resource,path,method,summary,parameter_count,parameters
/alerts-notifications,/alerts-notifications.json/,GET,Get Alert Notification Settings,0,[]
/alerts-notifications,/alerts-notifications.json/disable,PUT,Disable Alert Notifications,1,"[""description : Updated Alert Notification\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : AlertNotificationDto\n""]"
/alerts-notifications,/alerts-notifications.json/enable,PUT,Enable Alert Notifications,1,"[""description : Updated Alert Notification\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : AlertNotificationDto\n""]"
/geomaps,/geomaps.json/location,PUT,Set Arrays Location,1,"[""description : Location with which to update the Array\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[MapArrayLocationDto]\n""]"
/geomaps,/geomaps.json/,GET,List GeoArrays,8,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'hostName'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""hostName\"", \""onlineStatus\"", \""clients\"", \""rxBytes\"", \""txBytes\"", \""totalBytes\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : top\ndescription : The top bounds of search coordinates\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : float\n"", ""name : left\ndescription : The left bounds of search coordinates\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : float\n"", ""name : bottom\ndescription : The bottom bounds of search coordinates\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : float\n"", ""name : right\ndescription : The right bounds of search coordinates\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : float\n""]"
/feedback,/feedback.json/,POST,Give Feedback,1,"[""description : User feedback\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : UserFeedbackDto\n""]"
/arrays,/arrays.json/backoffice/penalty/{serialNumber},POST,Clear Array penalty,1,"[""name : serialNumber\ndescription : Serial number of Array to clear penalty\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/search/{search},GET,Search Array,1,"[""name : search\ndescription : Search value\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/backoffice/serialnumber/{serialNumber},GET,Get Array backoffice details by serial number,1,"[""name : serialNumber\ndescription : Serial number of Array to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/serialnumber/{serialNumber},GET,Get Array by serial number,1,"[""name : serialNumber\ndescription : Serial Number of Array that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/macaddress/{macAddress},GET,Get Array by MAC addess,1,"[""name : macAddress\ndescription : MAC address of Array that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/global/macaddress/{macAddress},GET,Get Array and Tenant by MAC addess from global storage,1,"[""name : macAddress\ndescription : MAC address of Array that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/summary,GET,Get Array counts,0,[]
/arrays,/arrays.json/,GET,List Arrays,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'baseMacAddress'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""baseMacAddress\"", \""actualIpAddress\"", \""serialNumber\"", \""aosVersion\"", \""activationStatus\"", \""recentActivation\"", \""hostName\"", \""location\"", \""onlineStatus\"", \""actualNetmask\"", \""actualGateway\"", \""licenseKey\"", \""licensedAosVersion\"", \""arrayModel\"", \""manufacturer\"", \""baseIapMacAddress\"", \""profileName\"", \""clients\"", \""rxBytes\"", \""txBytes\"", \""totalBytes\"", \""penaltyType\"", \""reportedAosVersion\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/,POST,Add Arrays,1,"[""description : List of new Arrays\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[XirrusArrayDto]\n""]"
